Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Homocitrulline,189.1113,0.35,58582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c177_RP,fosfocreatinine,193.0255,3.60,0.6,0.3,-0.3,-0.4,-0.3,0.1,-0.2,0.5,0.7,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,9.924771706453250000000000000000E-01,8.747719346599970000000000000000E-01,9.999999999961730000000000000000E-01,1.000000000000000000000000000000E+00,3.218660666549200000000000000000E-01,1.122927727277850000000000000000E-01,2.7E+06,6.1E+06,3.9E+06,3.8E+06,4.0E+06,8.8E+06,2.6E+06,3.2E+06,4.9E+06,6.5E+06,4.7E+06,5.6E+06,4.3E+06,5.2E+06,3.5E+06,5.3E+06,3.9E+06,3.1E+06,3.5E+06,2.6E+06,4.4E+06,3.8E+06,5.5E+06,3.7E+06,9.4E+04,9.3E+04,8.5E+04,9.2E+04,8.8E+04,9.3E+04,9.5E+04,17.2,19.9,10.4,13.7,46.8,22.9,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fosfocreatinine,193.0252,1.27,64349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c178_RP,5-Methoxy-3-indoleaceate,205.0739,19.20,0.5,-0.4,-0.7,-1.1,-2.2,-1.2,-0.2,-1.0,-0.8,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.559495172394220000000000000000E-01,5.387134283613570000000000000000E-04,1.531028272208260000000000000000E-01,9.862169679005560000000000000000E-01,1.173790936719010000000000000000E-01,8.813091809115920000000000000000E-01,3.8E+05,5.9E+05,3.2E+05,3.2E+05,3.1E+05,5.6E+05,4.1E+05,3.9E+05,4.9E+05,4.9E+05,7.6E+05,5.4E+05,6.8E+05,5.7E+05,1.4E+06,1.4E+06,2.7E+06,1.5E+06,1.6E+06,7.1E+05,1.7E+06,1.1E+06,1.1E+06,8.3E+05,2.1E+04,2.0E+04,2.1E+04,1.9E+04,2.0E+04,2.1E+04,2.1E+04,35.3,38.5,60.2,48.8,28.5,14.1,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Methyl 1-methoxy-1H-indole-3-carboxylate,205.0739,0.19,8640951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cinnamoyl glycine,205.0739,0.19,618829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4,8-Dimethoxy-2(1H)-quinolinone",205.0739,0.19,721521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-Indolehydracrylic acid,205.0739,0.19,26958790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-Methoxy-3-indoleaceate,205.0739,0.19,17924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gentianamine,205.0739,0.19,390958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swietenidin B,205.0739,0.19,391236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dl-3-Indolelactic acid,205.0739,0.19,83867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c179_RP,Indoxyl sulfate,213.0097,16.51,-0.1,0.3,-0.4,4.4,0.6,-3.7,3.9,0.9,-3.1,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,3.564449579940290000000000000000E-08,3.730756967936000000000000000000E-01,1.132172200461500000000000000000E-06,1.351723800661480000000000000000E-07,1.445453421724740000000000000000E-01,9.384552340675660000000000000000E-06,3.1E+06,2.9E+06,3.3E+06,2.2E+06,2.2E+06,3.7E+06,2.4E+06,1.8E+06,2.1E+05,1.7E+05,1.6E+05,1.8E+05,1.0E+05,1.6E+05,6.7E+04,1.2E+05,1.8E+06,1.8E+06,1.7E+06,9.8E+05,1.1E+06,1.9E+06,1.8E+06,8.2E+05,3.7E+04,3.4E+04,3.2E+04,3.0E+04,2.9E+04,2.8E+04,2.9E+04,39.4,22.1,15.7,47.1,32.5,18.4,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indoxyl sulfate,213.0096,0.70,9840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c180_RP,11343172,215.1523,20.10,0.8,0.6,0.5,-0.2,-1.8,-1.7,0.0,-1.6,-1.5,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000363414077510000000000000000E-03,1.779509618250260000000000000000E-03,1.000000000000000000000000000000E+00,6.512327024271510000000000000000E-03,3.737170997576770000000000000000E-03,3.5E+05,1.2E+06,4.2E+05,8.2E+05,4.9E+05,4.9E+05,3.6E+05,4.0E+05,4.8E+05,7.2E+05,3.8E+05,6.3E+05,2.8E+05,3.2E+05,5.6E+05,9.0E+05,1.3E+06,2.1E+06,1.3E+06,1.9E+06,1.5E+06,2.0E+06,1.5E+06,1.5E+06,4.7E+04,2.9E+04,3.2E+04,6.8E+04,6.3E+04,4.6E+04,4.2E+04,13.5,7.1,38.2,28.8,50.4,16.3,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-Nonanoylglycine,215.1521,0.87,8352257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11343172,215.1521,0.87,94028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c181_RP,L-(+)-ERGOTHIONEINE,229.0886,4.71,0.0,0.1,-0.3,-1.3,-1.0,0.3,-1.4,-0.8,0.6,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,2.301143309851850000000000000000E-02,6.109668926721670000000000000000E-02,9.999999999961730000000000000000E-01,2.147295479496110000000000000000E-02,1.961441202111870000000000000000E-01,9.421203633849800000000000000000E-01,4.0E+06,5.5E+06,4.0E+06,3.5E+06,3.7E+06,4.1E+06,3.5E+06,3.5E+06,1.2E+07,1.3E+07,5.5E+06,6.5E+06,6.5E+06,6.9E+06,1.5E+07,1.4E+07,8.1E+06,1.0E+07,8.2E+06,6.6E+06,7.5E+06,6.3E+06,7.3E+06,6.1E+06,1.0E+05,9.4E+04,8.5E+04,8.4E+04,7.8E+04,7.9E+04,8.0E+04,27.5,5.9,40.3,45.2,22.4,6.8,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-ERGOTHIONEINE,229.0885,0.63,4508619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c182_RP,1872050,229.1678,21.78,0.5,0.5,0.3,0.0,-1.7,-1.6,-0.1,-1.5,-1.4,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,4.034938396250620000000000000000E-04,1.099026764178990000000000000000E-03,1.000000000000000000000000000000E+00,4.987182855660120000000000000000E-03,1.754050489022430000000000000000E-03,1.2E+06,3.6E+06,1.4E+06,2.0E+06,1.3E+06,1.4E+06,1.1E+06,1.4E+06,1.4E+06,2.1E+06,1.2E+06,1.6E+06,1.1E+06,1.0E+06,1.9E+06,2.4E+06,3.5E+06,5.2E+06,3.7E+06,4.4E+06,4.7E+06,5.9E+06,4.2E+06,4.2E+06,2.6E+05,3.2E+05,2.5E+05,3.0E+05,3.4E+05,3.2E+05,2.0E+05,16.2,13.1,33.1,26.0,48.3,9.3,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1872050,229.1678,0.14,1361783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c183_RP,asn-val,231.1220,4.63,-0.1,0.0,-0.2,4.9,4.5,-0.4,4.8,4.6,-0.2,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,3.544764481944180000000000000000E-12,2.281058225189310000000000000000E-12,2.939034934206510000000000000000E-01,3.381208356779060000000000000000E-12,2.392565312536730000000000000000E-12,9.999999999925950000000000000000E-01,1.2E+07,1.3E+07,1.1E+07,9.2E+06,1.1E+07,1.1E+07,9.7E+06,1.0E+07,3.4E+05,4.0E+05,3.9E+05,3.6E+05,3.7E+05,3.7E+05,4.1E+05,5.6E+05,4.8E+05,5.5E+05,5.2E+05,4.4E+05,5.7E+05,4.4E+05,3.9E+05,3.5E+05,1.3E+05,1.1E+05,1.1E+05,1.0E+05,9.8E+04,1.1E+05,1.1E+05,18.3,15.4,22.1,7.9,14.0,8.5,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,val-asn,231.1219,0.41,14173015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asn-val,231.1219,0.41,16568270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c184_RP,beta-L-fucose 1-phosphate,244.0348,4.07,0.1,0.1,-0.4,1.7,0.8,-0.8,1.7,1.3,-0.4,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.188175504972270000000000000000E-06,5.583005048920850000000000000000E-04,1.282209499809930000000000000000E-02,5.982075153511800000000000000000E-07,1.620207168076570000000000000000E-05,2.225332566356060000000000000000E-01,6.1E+06,8.2E+06,6.9E+06,7.1E+06,6.3E+06,5.5E+06,6.2E+06,6.2E+06,3.1E+06,2.4E+06,2.0E+06,1.9E+06,1.6E+06,1.9E+06,1.9E+06,2.2E+06,2.8E+06,2.6E+06,3.4E+06,2.8E+06,3.5E+06,3.1E+06,3.7E+06,2.7E+06,8.5E+04,8.2E+04,8.7E+04,9.1E+04,8.0E+04,8.4E+04,8.3E+04,8.2,11.2,12.3,29.5,17.4,5.7,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Rhamnulose 1-phosphate,244.0348,-0.09,4954442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Fuculose 1-phosphate,244.0348,-0.09,5256754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,beta-L-fucose 1-phosphate,244.0348,-0.09,58841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-Deoxy-1-O-phosphono-alpha-L-galactopyranose,244.0348,-0.09,388514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-Deoxy-1-O-phosphono-L-sorbose,244.0348,-0.09,388527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-fucopyranose 1-phosphate,244.0348,-0.09,388911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-DEOXY-D-GLUCOSE-6-PHOSPHATE,244.0348,-0.09,389817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c185_RP,(R)-3-hydroxybutyrylcarnitine,247.1421,10.02,0.1,-0.1,-0.2,-1.4,-1.9,-0.5,-1.3,-1.5,-0.3,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.068917545142400000000000000000E-04,4.641451701350510000000000000000E-06,7.226519147570340000000000000000E-01,6.876061860132970000000000000000E-04,5.869075983771840000000000000000E-05,9.972632665582250000000000000000E-01,1.5E+06,1.8E+06,1.2E+06,1.6E+06,1.6E+06,1.1E+06,1.1E+06,1.3E+06,5.2E+06,4.7E+06,3.0E+06,2.6E+06,3.4E+06,3.1E+06,3.8E+06,3.9E+06,6.3E+06,5.0E+06,5.4E+06,4.4E+06,4.5E+06,4.0E+06,3.8E+06,3.5E+06,1.5E+05,1.5E+05,1.4E+05,1.4E+05,1.3E+05,1.3E+05,1.3E+05,15.3,21.3,25.2,24.7,20.6,15.0,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(3S)-3-[(3-Hydroxybutanoyl)oxy]-4-(trimethylammonio)butanoate,247.1420,0.56,35032578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(R)-3-hydroxybutyrylcarnitine,247.1420,0.56,34999533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c186_RP,(R)-3-hydroxybutyrylcarnitine,247.1421,9.68,0.3,-0.3,-0.5,0.9,-0.9,-1.8,1.5,0.0,-1.6,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,7.669987119150780000000000000000E-02,3.858147292900920000000000000000E-02,1.408204501371320000000000000000E-04,3.578652339560550000000000000000E-03,1.000000000000000000000000000000E+00,2.242413704607020000000000000000E-03,6.1E+06,1.0E+07,6.2E+06,8.5E+06,6.5E+06,5.7E+06,5.2E+06,6.8E+06,4.1E+06,4.9E+06,2.2E+06,2.0E+06,2.6E+06,2.3E+06,4.2E+06,3.0E+06,1.1E+07,9.1E+06,1.6E+07,1.1E+07,1.2E+07,6.6E+06,1.1E+07,6.2E+06,1.9E+05,1.7E+05,1.6E+05,1.6E+05,1.4E+05,1.4E+05,1.3E+05,28.3,18.8,41.5,31.5,25.0,9.8,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(3S)-3-[(3-Hydroxybutanoyl)oxy]-4-(trimethylammonio)butanoate,247.1420,0.65,35032578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(R)-3-hydroxybutyrylcarnitine,247.1420,0.65,34999533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c187_RP,glu-thr,248.1010,5.05,0.2,0.4,-0.4,-0.4,-3.5,-3.2,-0.7,-3.0,-2.4,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,8.087923453564270000000000000000E-01,3.743542918159010000000000000000E-08,1.238190200029330000000000000000E-06,2.572073990782320000000000000000E-01,4.118011321105540000000000000000E-07,4.391738114190760000000000000000E-05,2.0E+06,2.7E+06,2.3E+06,2.1E+06,1.5E+06,2.3E+06,2.9E+06,2.5E+06,5.5E+06,5.7E+06,3.0E+06,3.5E+06,1.9E+06,3.9E+06,2.7E+06,3.7E+06,2.6E+07,2.7E+07,2.8E+07,1.5E+07,2.2E+07,2.4E+07,2.4E+07,1.4E+07,3.2E+05,3.0E+05,2.8E+05,2.7E+05,2.6E+05,2.5E+05,2.5E+05,32.6,11.3,24.1,48.2,10.5,27.2,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,glu-thr,248.1008,0.57,5365660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gamma-Glu-Thr,248.1008,0.57,29273165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c188_RP,asp-gln,261.0963,4.31,0.5,1.0,0.3,0.9,1.2,0.2,0.5,1.4,1.0,1.000000000000000000000000000000E+00,7.120392890585400000000000000000E-01,1.000000000000000000000000000000E+00,8.728444767102920000000000000000E-03,3.653324033869620000000000000000E-04,8.506738111479950000000000000000E-01,2.661191704332560000000000000000E-01,2.381790456291670000000000000000E-05,3.571574960492870000000000000000E-03,6.3E+06,1.1E+07,6.7E+06,6.6E+06,5.5E+06,1.4E+07,5.6E+06,6.5E+06,4.0E+06,7.7E+06,3.0E+06,5.4E+06,3.2E+06,6.2E+06,3.0E+06,6.1E+06,2.6E+06,3.1E+06,2.8E+06,3.3E+06,2.7E+06,3.1E+06,2.6E+06,3.5E+06,2.1E+05,2.1E+05,1.9E+05,1.8E+05,1.8E+05,1.8E+05,1.7E+05,5.9,4.0,15.6,14.2,39.4,9.9,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asp-gln,261.0961,0.70,11201333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-(2-Amino-3-carboxypropanoyl)glutamine,261.0961,0.70,35032791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-gamma-Glutamyl-L-Asparagine,261.0961,0.70,74854307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Glutaminyl-L-aspartic acid,261.0961,0.70,62900369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gln-asp,261.0961,0.70,16568297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asn-glu,261.0961,0.70,16568259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c189_RP,N-Phenylacetylglutamic acid,265.0951,17.43,-0.5,0.6,0.0,3.2,3.7,0.6,2.1,3.3,1.2,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,5.854544388741310000000000000000E-02,3.077640571934430000000000000000E-03,9.250625793528840000000000000000E-01,4.106854607060030000000000000000E-01,1.761777789058380000000000000000E-02,7.480274783754200000000000000000E-01,2.4E+06,2.5E+06,2.2E+06,7.6E+05,2.4E+06,3.8E+06,9.0E+05,3.6E+05,2.6E+05,5.5E+05,1.8E+05,2.1E+05,2.5E+05,2.3E+05,1.1E+06,1.0E+06,1.7E+05,1.6E+05,1.6E+05,1.7E+05,1.9E+05,2.5E+05,1.7E+05,1.7E+05,1.2E+05,1.2E+05,1.1E+05,1.2E+05,1.2E+05,1.1E+05,1.3E+05,23.0,8.3,74.3,99.1,86.3,36.7,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-Phenylacetylglutamic acid,265.0950,0.27,9754592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-(2-Phenylacetoxy)propionylglycine,265.0950,0.27,35031652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c190_RP,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose,265.1163,4.33,-0.2,0.2,-0.1,0.7,0.2,-0.5,0.3,0.1,-0.2,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,2.040251628375740000000000000000E-02,1.000000000000000000000000000000E+00,9.009254111384570000000000000000E-02,7.649114298671810000000000000000E-01,1.000000000000000000000000000000E+00,9.667210011664780000000000000000E-01,5.7E+06,6.7E+06,6.2E+06,5.0E+06,5.5E+06,3.9E+06,5.2E+06,5.1E+06,3.7E+06,4.8E+06,3.4E+06,3.3E+06,2.9E+06,3.6E+06,4.1E+06,5.1E+06,6.2E+06,5.6E+06,5.1E+06,4.3E+06,4.4E+06,5.1E+06,4.8E+06,4.3E+06,1.1E+05,1.0E+05,9.6E+04,8.7E+04,8.4E+04,8.3E+04,8.1E+04,12.9,14.8,21.7,14.0,21.7,7.6,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose,265.1162,0.63,30777283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c191_RP,neuraminic acid,267.0955,3.72,-0.2,0.1,-0.3,-0.4,-0.6,-0.2,-0.7,-0.4,0.3,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.185242010502200000000000000000E-02,6.893639740798040000000000000000E-04,9.616780276295500000000000000000E-01,4.004993706710790000000000000000E-04,2.271631085395930000000000000000E-02,3.594593320337520000000000000000E-01,5.2E+06,5.9E+06,5.0E+06,4.8E+06,5.4E+06,4.7E+06,5.6E+06,4.6E+06,6.9E+06,8.1E+06,7.1E+06,6.5E+06,7.0E+06,7.4E+06,7.0E+06,7.5E+06,8.1E+06,7.5E+06,8.2E+06,5.7E+06,6.7E+06,6.6E+06,7.6E+06,5.9E+06,1.0E+05,1.0E+05,9.2E+04,8.8E+04,8.6E+04,8.5E+04,8.9E+04,12.5,9.1,8.7,1.5,11.8,4.5,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,neuraminic acid,267.0954,0.46,447972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(2S)-3-Hydroxy-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)propanoic acid (non-preferred name)",267.0954,0.46,35014479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(6R)-5-Amino-3,5-dideoxy-6-[(1S,2S)-1,2,3-trihydroxypropyl]-alpha-L-threo-hex-2-ulopyranosonic acid",267.0954,0.46,58837792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(6R)-5-Amino-3,5-dideoxy-6-[(2R)-1,2,3-trihydroxypropyl]-L-threo-hex-2-ulopyranosonic acid",267.0954,0.46,389856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miserotoxin,267.0954,0.46,96947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c192_RP,N-Tridecanoylglycine,271.2148,26.09,0.8,0.5,0.3,-0.3,-2.4,-2.1,0.0,-1.9,-1.9,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,5.139136579861540000000000000000E-03,7.103294533589770000000000000000E-03,1.000000000000000000000000000000E+00,1.614462010913560000000000000000E-02,1.351953807062070000000000000000E-02,1.0E+06,4.7E+06,1.1E+06,2.8E+06,2.0E+06,1.1E+06,1.2E+06,9.6E+05,1.7E+06,2.9E+06,1.1E+06,1.6E+06,8.7E+05,1.1E+06,1.8E+06,2.3E+06,4.3E+06,1.1E+07,5.3E+06,6.9E+06,6.6E+06,7.8E+06,6.8E+06,4.3E+06,2.6E+05,1.6E+05,1.2E+05,2.6E+05,2.5E+05,2.8E+05,2.5E+05,37.6,20.7,40.0,33.0,72.4,33.8,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-Tridecanoylglycine,271.2147,0.27,21513291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
